Name,Author,User Rating,Reviews,Genre,Price,Year
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,Non Fiction,8,2016
11/22/63: A Novel,Stephen King,4.6,2052,Fiction,22,2011
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,Non Fiction,15,2018
1984 (Signet Classics),George Orwell,4.7,21424,Fiction,6,2017
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,Non Fiction,12,2019
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,Fiction,11,2011
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,Fiction,30,2014
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,Fiction,15,2017
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,Non Fiction,3,2018
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,Fiction,8,2016
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,Fiction,8,2017
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,Non Fiction,2,2010
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,Non Fiction,32,2011
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,Fiction,5,2018
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,Non Fiction,17,2009
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,Non Fiction,4,2016
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,Non Fiction,6,2015
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,Non Fiction,6,2015
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,Non Fiction,8,2015
Alexander Hamilton,Ron Chernow,4.8,9198,Non Fiction,13,2016
All the Light We Cannot See,Anthony Doerr,4.6,36348,Fiction,14,2014
All the Light We Cannot See,Anthony Doerr,4.6,36348,Fiction,14,2015
Allegiant,Veronica Roth,3.9,6310,Fiction,13,2013
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,Non Fiction,9,2015
And the Mountains Echoed,Khaled Hosseini,4.3,12159,Fiction,13,2013
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,Non Fiction,5,2009
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,Non Fiction,9,2017
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,Non Fiction,14,2010
Baby Touch and Feel: Animals,DK,4.6,5360,Non Fiction,5,2015
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,Non Fiction,11,2015
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,Non Fiction,24,2012
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,Non Fiction,21,2010
Becoming,Michelle Obama,4.8,61133,Non Fiction,11,2018
Becoming,Michelle Obama,4.8,61133,Non Fiction,11,2019
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,Non Fiction,15,2015
Between the World and Me,Ta-Nehisi Coates,4.7,10070,Non Fiction,13,2015
Between the World and Me,Ta-Nehisi Coates,4.7,10070,Non Fiction,13,2016
Born to Run,Bruce Springsteen,4.7,3729,Non Fiction,18,2016
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,Fiction,13,2009
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,Non Fiction,8,2010
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,Fiction,5,2017
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,Fiction,5,2019
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,Fiction,0,2011
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,Non Fiction,4,2016
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,Non Fiction,18,2019
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,Non Fiction,28,2014
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,Fiction,11,2010
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,Fiction,11,2011
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,Fiction,11,2012
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,Non Fiction,16,2016
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,Non Fiction,14,2009
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,Non Fiction,14,2010
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,Non Fiction,14,2011
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,Fiction,8,2018
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,Non Fiction,4,2015
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,Non Fiction,5,2015
Cutting for Stone,Abraham Verghese,4.6,4866,Fiction,11,2010
Cutting for Stone,Abraham Verghese,4.6,4866,Fiction,11,2011
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,Non Fiction,10,2013
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,Non Fiction,13,2013
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,Fiction,4,2009
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,Fiction,8,2010
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,Fiction,4,2011
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,Fiction,5,2015
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,Fiction,5,2016
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,Fiction,5,2017
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,Fiction,5,2018
Decision Points,George W. Bush,4.6,2137,Non Fiction,17,2010
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,Non Fiction,15,2010
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,Non Fiction,105,2013
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,Non Fiction,105,2014
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,Fiction,0,2013
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,Fiction,15,2009
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,Fiction,22,2014
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,Non Fiction,5,2019
Divergent,Veronica Roth,4.6,27098,Fiction,15,2013
Divergent,Veronica Roth,4.6,27098,Fiction,15,2014
Divergent / Insurgent,Veronica Roth,4.5,17684,Fiction,6,2014
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,Non Fiction,6,2009
Doctor Sleep: A Novel,Stephen King,4.7,15845,Fiction,13,2013
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,Fiction,12,2009
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,Fiction,6,2018
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,Fiction,8,2017
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,Fiction,4,2018
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,Fiction,4,2019
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,Fiction,8,2019
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,Fiction,8,2019
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,Fiction,6,2018
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,Fiction,20,2016
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,Non Fiction,5,2015
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,Non Fiction,16,2010
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,Non Fiction,1,2009
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,Non Fiction,14,2009
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,Non Fiction,9,2011
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,Non Fiction,9,2012
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,Fiction,7,2009
Eclipse (Twilight),Stephenie Meyer,4.7,5505,Fiction,18,2009
Educated: A Memoir,Tara Westover,4.7,28729,Non Fiction,15,2018
Educated: A Memoir,Tara Westover,4.7,28729,Non Fiction,15,2019
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,Non Fiction,9,2015
Fahrenheit 451,Ray Bradbury,4.6,10721,Fiction,8,2016
Fahrenheit 451,Ray Bradbury,4.6,10721,Fiction,8,2018
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,Fiction,15,2016
Fear: Trump in the White House,Bob Woodward,4.4,6042,Non Fiction,2,2018
Fifty Shades Darker,E L James,4.4,23631,Fiction,7,2012
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,Fiction,11,2012
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,Fiction,14,2012
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,Fiction,14,2013
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,Fiction,32,2012
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,Non Fiction,6,2018
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2014
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2015
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2016
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2017
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2018
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,Non Fiction,9,2010
Frozen (Little Golden Book),RH Disney,4.7,3642,Fiction,0,2014
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,Non Fiction,9,2010
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,Fiction,5,2011
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,Fiction,5,2012
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,Fiction,5,2013
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,Non Fiction,20,2010
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,Non Fiction,16,2013
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2015
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2016
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2017
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2018
Giraffes Can't Dance,Giles Andreae,4.8,14038,Fiction,4,2019
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,Non Fiction,12,2019
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,Non Fiction,12,2018
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,Non Fiction,12,2019
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,Non Fiction,11,2009
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,Fiction,19,2015
Go the F**k to Sleep,Adam Mansbach,4.8,9568,Fiction,9,2011
Going Rogue: An American Life,Sarah Palin,4.6,1636,Non Fiction,6,2009
Gone Girl,Gillian Flynn,4,57271,Fiction,10,2012
Gone Girl,Gillian Flynn,4,57271,Fiction,10,2013
Gone Girl,Gillian Flynn,4,57271,Fiction,9,2014
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,Non Fiction,6,2019
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2009
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2010
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2011
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2012
Goodnight Moon,Margaret Wise Brown,4.8,8837,Fiction,5,2017
Goodnight Moon,Margaret Wise Brown,4.8,8837,Fiction,5,2018
Goodnight Moon,Margaret Wise Brown,4.8,8837,Fiction,5,2019
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,Fiction,7,2012
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,Fiction,7,2013
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,Non Fiction,10,2014
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,Fiction,14,2015
Guts,Raina Telgemeier,4.8,5476,Non Fiction,7,2019
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,Non Fiction,54,2016
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,Non Fiction,11,2013
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,Fiction,30,2016
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,Fiction,12,2016
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,Fiction,18,2019
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,Fiction,30,2017
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,Fiction,22,2016
Harry Potter Coloring Book,Scholastic,4.7,3564,Non Fiction,9,2015
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,Fiction,52,2016
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,Non Fiction,4,2009
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,Non Fiction,10,2011
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,Non Fiction,10,2012
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,Non Fiction,14,2016
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,Non Fiction,14,2017
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,Non Fiction,22,2018
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2014
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2015
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2016
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2017
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2018
Howard Stern Comes Again,Howard Stern,4.3,5272,Non Fiction,16,2019
Humans of New York,Brandon Stanton,4.8,3490,Non Fiction,15,2013
Humans of New York,Brandon Stanton,4.8,3490,Non Fiction,15,2014
Humans of New York : Stories,Brandon Stanton,4.9,2812,Non Fiction,17,2015
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,Non Fiction,17,2013
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,Non Fiction,7,2019
"I, Alex Cross",James Patterson,4.6,1320,Fiction,7,2009
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,Fiction,4,2017
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,Fiction,4,2019
If I Stay,Gayle Forman,4.3,7153,Fiction,9,2014
